lr,batch_size,Mean Squared Error,Relative Error 1,Relative Error 2,R^2
0.02,16384,0.42415434421394527,0.0024067530593368763,0.12706610487313133,0.4209522696381631
0.03,16384,0.4209450488223067,9.579405091578653e-05,0.1264844494266198,0.425333540837997
0.04,16384,0.42072703273174883,0.0006456074516129758,0.12640600763974255,0.42563117240570825
0.05,16384,0.42070003829503855,0.0008028497078610855,0.12639068375515036,0.4256680247155401
0.06,16384,0.42069508105150133,0.0008822401034675024,0.1263865586010833,0.42567479225348526
0.07,16384,0.42069419557152343,0.0009462143712271968,0.12638468204264722,0.42567600109450854
0.08,16384,0.420694349504259,0.0010067114797230666,0.12638326048742224,0.4256757909483615
0.09,16384,0.4206949246884536,0.0010658652783607752,0.12638197042259128,0.4256750057174497
0.1,16384,0.4206957837870086,0.001124055631569382,0.12638073484275408,0.4256738328918611
0.2,16384,0.42071684284875893,0.001674110908095382,0.12637195567521395,0.42564508344705076
0.3,16384,0.42075290692532724,0.0021691441239045798,0.12636824061165963,0.42559584943125117
0.4,16384,0.42079332034841654,0.0025832260660655798,0.1263678327766082,0.42554067776736215
0.5,16384,0.42083216218416186,0.002917353972341821,0.1263695415018107,0.42548765160568724
0.6,16384,0.42086623592263495,0.0031826220243098583,0.1263724543916703,0.4254411347629461
0.7,16384,2.743187835469411e+67,3.004007363846111e+32,9.815104377784244e+32,-3.7449497140681134e+67
0.8,16384,1.1051642134524758e+162,6.01676762216631e+79,1.969827411447722e+80,-1.5087499119282647e+162
0.9,16384,4.416773720416964e+267,3.7835626922248796e+132,1.2448831395136422e+133,-6.029698465234212e+267
