lr,batch_size,Mean Squared Error,Relative Error 1,Relative Error 2,R^2
4.95e-05,1024,1.0494583007324527,0.03326991443700357,0.1903923523977621,-0.4327012217090418
5e-05,1024,1.0491307866678152,0.033241203171908415,0.19035958234805425,-0.432254105515663
5.05e-05,1024,1.0488076046308008,0.03321272213862854,0.19032727907464544,-0.43181290332693223
5.1e-05,1024,1.0484886486622127,0.03318446904905124,0.19029535503373118,-0.4313774704892972
5.15e-05,1024,1.0481738166735766,0.03315644163054652,0.19026388756591883,-0.4309476676334456
5.2e-05,1024,1.0478630102311015,0.033128637623985234,0.19023287708913605,-0.4305233603793712
5.25e-05,1024,1.047556134350683,0.03310105478158211,0.19020231111810856,-0.43010441905651775
5.3e-05,1024,1.0472530973031897,0.033073690864517974,0.19017214001772872,-0.42969071843795703
5.35e-05,1024,1.0469538104293827,0.03304654364030382,0.1901423485173894,-0.4292821374877227
5.4e-05,1024,1.0466581879639658,0.03301961087981716,0.19011291129397362,-0.42887855912060524
5.45e-05,1024,1.046366146868413,0.03299289035396064,0.19008379522654248,-0.42847986997393206
5.5e-05,1024,1.0460776066724051,0.032966379829868935,0.1900550472908947,-0.42808596019110023
5.55e-05,1024,1.045792489323911,0.03294007706658242,0.19002671865575632,-0.4276967232169082
5.6e-05,1024,1.0455107190481805,0.032913979810088284,0.18999872439488327,-0.4273120556050567
5.65e-05,1024,1.0452322222161883,0.032888085787608934,0.18997099583078197,-0.4269318568385514
5.7e-05,1024,1.0449569272233978,0.03286239270099546,0.1899435339428263,-0.4265560291641921
5.75e-05,1024,1.0446847643800885,0.0328368982190467,0.18991642953626753,-0.4261844774428507
5.8e-05,1024,1.0444156658149994,0.032811599968513086,0.18988960006669778,-0.425817109017927
5.85e-05,1024,1.0441495653946757,0.032786495523517305,0.1898629761684755,-0.42545383360524136
5.9e-05,1024,1.043886398661818,0.03276158239301785,0.18983669615038903,-0.42509456320887096
5.95e-05,1024,1.043626102797282,0.03273685800586559,0.1898107285232272,-0.4247392120692721
6e-05,1024,1.0433686166124096,0.032712319692891824,0.18978509457335474,-0.42438769665281173
6.05e-05,1024,1.0431138805816222,0.032687964665323956,0.18975982745338524,-0.4240399356962614
6.1e-05,1024,1.0428618369303997,0.03266378998867071,0.18973486073326265,-0.42369585032690593
6.15e-05,1024,1.0426124298022523,0.03263979255103891,0.18971010093791077,-0.42335536429049037
6.2e-05,1024,1.0423656055422073,0.032615969024615686,0.18968553484705622,-0.4230184043382301
6.25e-05,1024,1.042121313157374,0.03259231581880203,0.18966122970530036,-0.4226849008555664
6.3e-05,1024,1.0418795050538339,0.03256882902320888,0.18963710821096463,-0.42235478886815403
6.35e-05,1024,1.041640138215091,0.03254550433848005,0.18961320233963286,-0.42202800965066256
6.4e-05,1024,1.0414031761029234,0.03252233699299981,0.18958959424751465,-0.4217045133217807
6.45e-05,1024,1.0411685917705213,0.03249932164495872,0.1895663158737967,-0.42138426309421884
6.5e-05,1024,1.0409363730706152,0.03247645227480849,0.18954337152149237,-0.421067242384747
6.55e-05,1024,1.040706531609294,0.0324537220909838,0.1895207702026502,-0.4207534670377855
6.6e-05,1024,1.0404791186557227,0.03243112352279763,0.18949837309996015,-0.4204430070450571
6.65e-05,1024,1.040254254488885,0.03240864851245992,0.18947623897928953,-0.42013602660922444
6.7e-05,1024,1.0400321847026819,0.032386289676084236,0.18945431249754605,-0.4198328610105764
6.75e-05,1024,1.0398133924415929,0.032364043804965485,0.1894326485057864,-0.41953416982909353
6.8e-05,1024,1.0395988299461154,0.03234192140029727,0.18941138298756166,-0.4192412530460361
6.85e-05,1024,1.0393904102906069,0.032319971324826134,0.18939060590958318,-0.41895672235542447
6.9e-05,1024,1.039192076567838,0.03229834258134358,0.18937071770246064,-0.4186859607951807
6.95e-05,1024,1.0390121714817364,0.03227743595598218,0.18935249537471743,-0.41844035767167465
3e-05,512,1.062049589084254,0.03425215877755591,0.191663744555191,-0.4498906176020716
3.05e-05,512,1.0614304329061672,0.03420985988564139,0.19160069921255107,-0.4490453569450694
3.1e-05,512,1.0608259272054035,0.03416803569275952,0.19153938513044638,-0.4482200968509713
3.15e-05,512,1.0602354187127176,0.034126675434780526,0.19147969101666176,-0.4474139454885875
3.2e-05,512,1.0596582948456208,0.03408576884356319,0.19142141144546357,-0.44662606657154047
3.25e-05,512,1.059093980751597,0.03404530610753732,0.19136458959838076,-0.44585567532172043
3.3e-05,512,1.0585419365813222,0.03400527783642848,0.1913090761742506,-0.44510203474673204
3.35e-05,512,1.0580016549731632,0.03396567502962602,0.19125457962403203,-0.444364452205781
3.4e-05,512,1.057472658731849,0.03392648904774978,0.19120119267174385,-0.4436422762406367
3.45e-05,512,1.0569544986856567,0.03388771158705396,0.1911489070968919,-0.4429348936503017
3.5e-05,512,1.0564467517078129,0.03384933465633523,0.19109788152933987,-0.44224172678986684
3.55e-05,512,1.0559490188889746,0.03381135055605346,0.19104783388107166,-0.44156223107561465
3.6e-05,512,1.0554609238487958,0.03377375185944469,0.1909986156922937,-0.4408958926800002
3.65e-05,512,1.0549821111755284,0.03373653139536879,0.1909503035788342,-0.4402422264014245
3.7e-05,512,1.0545122449835593,0.03369968223273007,0.19090278565561747,-0.43960077369501027
3.75e-05,512,1.054051007579574,0.03366319766628959,0.19085619436959625,-0.43897110085167146
3.8e-05,512,1.0535980982288313,0.03362707120372191,0.19081042967588746,-0.43835279731385635
3.85e-05,512,1.0531532320136852,0.03359129655377943,0.19076558707225588,-0.4377454741172204
3.9e-05,512,1.0527161387771484,0.03355586761545137,0.19072148439140935,-0.4371487624484005
3.95e-05,512,1.05228656214487,0.03352077846801196,0.1906780054288959,-0.4365623123098352
4e-05,512,1.0518642586194107,0.03348602336186425,0.19063522822984352,-0.4359857912832872
4.05e-05,512,1.0514489967412064,0.03345159671009221,0.1905932849507857,-0.43541888338440504
4.1e-05,512,1.051040556311041,0.03341749308065671,0.19055212151375772,-0.43486128800125856
4.15e-05,512,1.0506387276692715,0.033383707189164114,0.19051161900546776,-0.4343127189103484
4.2e-05,512,1.0502433110274048,0.033350233892144455,0.19047181335405608,-0.4337729033640889
4.25e-05,512,1.049854115847986,0.033317068180797126,0.19043282741061646,-0.4332415812442414
4.3e-05,512,1.0494709602690646,0.03328420517515194,0.19039443787901328,-0.4327185042762076
